Response ID,Start language,Are you familiar with Open Science?,Are you involved in some of the following Open Science  activities such as: [sharing a research manuscript as a preprint],Are you involved in some of the following Open Science  activities such as: [publishing a paper or monograph/book as Open Access],"Are you involved in some of the following Open Science  activities such as: [pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Are you involved in some of the following Open Science  activities such as: [open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]",Are you involved in some of the following Open Science  activities such as: [participation in open peer review (being reviewed or the reviewer)],"Are you involved in some of the following Open Science  activities such as: [outreach and public engagement in science, including citizen (or community) science]",Are you involved in some of the following Open Science  activities such as: [collaboration via virtual research environments/virtual laboratories],Are you involved in some of the following Open Science  activities such as: [none of the above],"Are you involved in any other Open Science activities that you would like to mention? If yes, please specify.","Are you familiar with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles (defined here )?",Are you involved in some steps of data FAIRification process such as those referred to here ? ,Specify which ones?,Does your institute /organisation have policies on various Open Science activities?,"Could you please specify briefly what kind of policy and provide a link to any relevant one, if possible?","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Sharing a research manuscript as a preprint]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Publishing a paper or monograph/book as Open Access]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in open peer review (being reviewed or the reviewer)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in public engagement, including citizen (or community) science]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Collaboration via virtual research environments/virtual laboratories ]",Does your institute/organisation have any initiative or tool which gives credits/rewards for Open Science activities?,You’re welcome to point here to any document/link/contact to know more about it.,How would you want the previously mentioned Open Science activities to be rewarded ?,Suggested rewards categorised according to SHARC's rewarding terminology,Main position/job title: which of the following are you now?,Main position/job title: which of the following are you now? [Comment],Please select the type of organisation you are primarily affiliated with:,Please select the type of organisation you are primarily affiliated with: [Comment],Which country do you work in?,"What are your main disciplinary fields (up to 3; e.g., computer science, physics, biology, medicine)?",How long have you been working in your field?,Would you have anything else you think is relevant to mention?,Your gender:
2,es,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Very Probably,Definitely,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,NGO / NPO,,Uruguay,Human Rights; Digital Rights; Intellectual Property,5-10 years,,Femenino
5,es,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Possibly,Definitely,Possibly,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,"Other, please specify in the comment box",,Government agency,,Uruguay,Information Science; Science communication,5-10 years,,M
7,es,No,No,Yes,Yes,No,No,No,No,No,,No,N/A,,No,,No opinion,Very Probably,Very Probably,Definitely,Possibly,Possibly,Possibly,No,,,authorship/contributorship; OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,University,,Uruguay,Biology,< 5 years,,-
8,es,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,N/A,,No,,Probably Not,Probably Not,No opinion,Possibly,Possibly,Probably Not,Definitely No,No,,,financial contribution to reviewers of OA journals,Professor,,University,,Uruguay,Environment; Oceanography; Marine Ecology,> 20 years,,masculino
9,es,No,No,No,No,No,No,Yes,No,No,,No,N/A,,Yes,,Probably Not,Definitely,Probably Not,Probably Not,Very Probably,Definitely,Possibly,No,,,"acknowledgement/citation; contribution to ‘good’ science, research quality and integrity",Researcher,,University,,Uruguay,Biology; Palaeontology; Ecology,10-20 years,,mujer
16,es,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,No,,No,,Probably Not,Probably Not,Probably Not,Probably Not,Probably Not,Possibly,Probably Not,No,,," contribution to ‘good’ science, research quality and integrity",Professor,,University,,Uruguay,Multidisciplinary Geosciences; Physical Geography; Geoarchaeology,> 20 years,,femenino
17,es,Yes,No,Yes,No,Yes,No,Yes,No,No,,No,N/A,,No,,Possibly,Very Probably,No opinion,Probably Not,Probably Not,Very Probably,No opinion,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Uruguay,Biology; Ecology; Zoology,> 20 years,,masculino
19,es,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,N/A,,Yes,,Very Probably,Definitely,Possibly,Definitely,Possibly,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Uruguay,Biology; Cell and Molecular Biology; Developmental Biology; Neurosciences,> 20 years,,Masculino
20,ko,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Very Probably,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Data specialist,,Research institute,,"Korea, Rep.",Computer Science,10-20 years,,M
21,es,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,"funding/grants for OS activities; capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Professor,,University,,Uruguay,Environmental and Agricultural Microbiology,10-20 years,,Mujer
22,es,Yes,Yes,No,No,No,Yes,Yes,No,No,,No,N/A,,No,,Very Probably,Very Probably,Probably Not,No opinion,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,University,,Uruguay,Biochemistry,10-20 years,,Masculino
22,ko,Yes,Yes,Yes,No,No,Yes,No,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Definitely,Definitely,Definitely,No,,,"research reputation; collaboration (e.g., joint research, co-authorship)",Researcher,,Government agency,,"Korea, Rep.",Information Science,> 20 years,,F
23,ko,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,No,,Possibly,Very Probably,Possibly,Possibly,Probably Not,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Postdoc,,Government agency,,"Korea, Rep.",Scientometrics; Text Mining,< 5 years,,
26,ko,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,N/A,,No,,Possibly,Definitely,Possibly,Definitely,Very Probably,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; research reputation,Researcher,,Research institute,,"Korea, Rep.",Machine Learning; Computer Science; Data Science,5-10 years,,F
28,es,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,Yes,No,,No,,Possibly,Definitely,Very Probably,Definitely,Very Probably,Definitely,Very Probably,No,,,,Researcher,,Research institute,,Uruguay,Biology,5-10 years,,Masculino
28,ko,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Very Probably,Very Probably,Possibly,No opinion,No opinion,Yes,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Information Science,> 20 years,,M
29,ko,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,,No,,Possibly,Definitely,Very Probably,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; awards/bonuses; funding/grants for OS activities,"Graduate student (Master, PhD)",,Research institute,,"Korea, Rep.",Science and Technology Management; Climate Change Policy; Horticulture,5-10 years,,F
30,ko,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,,Yes,,Possibly,Possibly,Possibly,Possibly,Very Probably,Possibly,Possibly,No,,,,Researcher,,Research institute,,"Korea, Rep.",Open Access,< 5 years,,
33,ko,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,,Yes,,No opinion,Very Probably,Possibly,Very Probably,Possibly,Possibly,Very Probably,No,,,,Policy officer,,Research institute,,"Korea, Rep.",Science and Technology Policy; Industrial Engineering; North Korean Studies,10-20 years,,M
34,es,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Definitely,Very Probably,No opinion,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,Research institute,,Argentina,Biodiversity Informatics; Botany; Biological Collections; Primary Biodiversity Data,5-10 years,,Femenino
36,ko,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,No,,Probably Not,Possibly,Possibly,Very Probably,Possibly,Possibly,No opinion,No,,,research reputation; OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Technology Management; Data Science; Technology Policy,< 5 years,,M
37,ko,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,Yes,,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,No,,,"collaboration (e.g., joint research, co-authorship)",Data specialist,,Research institute,,"Korea, Rep.",Technology Management; Science Policy,10-20 years,,M
39,en,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Definitely,Possibly,Definitely,No opinion,Yes,,,"championships/contests; awards/bonuses; OS indicators in research evaluation and/or career progression processes; capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Researcher,,Research institute,,France,Medicine; Genetics; Ethics,> 20 years,,F
41,es,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Definitely No,Definitely No,No opinion,Possibly,Definitely No,Probably Not,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,"Graduate student (Master, PhD)",,University,,Uruguay,Biology,5-10 years,,femenino
42,es,Yes,No,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,,No,,Definitely,Definitely,Very Probably,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Professor,,University,,Argentina,International; Environment; Humanities,10-20 years,,
43,ko,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,,No,,Very Probably,Possibly,Definitely,Very Probably,Possibly,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Computational Materials Science,5-10 years,,M
44,es,Yes,No,No,No,No,No,No,Yes,No,,Yes,Yes,,No,,Probably Not,Definitely,Very Probably,Very Probably,Possibly,Very Probably,Very Probably,No,,,authorship/contributorship,Data specialist,,University,,Colombia,Engineering,10-20 years,,Femenino
44,ko,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,No,,Yes,,Probably Not,Possibly,Possibly,Possibly,Probably Not,Probably Not,Possibly,No,,,"awards/bonuses; funding/grants for OS activities; collaboration (e.g., joint research, co-authorship)",Researcher,,Government agency,,"Korea, Rep.",Library and Information Science; Data Management,< 5 years,,
45,ko,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Probably Not,Probably Not,Probably Not,Very Probably,Probably Not,Definitely,Definitely,No,,,,"Graduate student (Master, PhD)",,Research institute,,"Korea, Rep.",Science & Technology Policy,< 5 years,,F
47,ko,Yes,No,No,No,No,No,Yes,Yes,No,,Yes,No,,Yes,,Very Probably,Very Probably,Very Probably,Definitely,Very Probably,Very Probably,Very Probably,No,,," contribution to ‘good’ science, research quality and integrity","Graduate student (Master, PhD)",,Research institute,,"Korea, Rep.",Science and Technology; Science Policy,< 5 years,,M
48,ko,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,N/A,,Yes,,Definitely,Definitely,Possibly,Definitely,Definitely,Possibly,Possibly,No,,,"awards/bonuses; collaboration (e.g., joint research, co-authorship); funding/grants for OS activities",Postdoc,,Research institute,,"Korea, Rep.",Data Science; Fluid Mechanics; Environmenrtal Engineering,5-10 years,,M
49,es,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,Yes,No,,Yes,,Possibly,Definitely,Possibly,Possibly,Possibly,Very Probably,Very Probably,No,,,,"Other, please specify in the comment box",,"Other, please specify",,Argentina,Academic Communications; Social Sciences,> 20 years,,femenino
50,ko,Yes,No,No,No,Yes,Yes,No,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Computer Science; Statistics,> 20 years,,M
51,ko,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No,,,,"Graduate student (Master, PhD)",,Research institute,,"Korea, Rep.",Economics,< 5 years,,M
52,ko,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Possibly,Possibly,Possibly,Very Probably,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; research reputation,Researcher,,Research institute,,"Korea, Rep.",Geological; Spatial Databases; Data Science,> 20 years,,M
53,es,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,No,,,,"Other, please specify in the comment box",,International organisation,,Switzerland,Physics,< 5 years,,Mujer
54,ko,Yes,No,No,No,Yes,No,No,No,No,,No,N/A,,No,,Possibly,Possibly,Probably Not,Definitely,Very Probably,No opinion,Very Probably,No,,,"acknowledgement/citation; collaboration (e.g., joint research, co-authorship)",Data specialist,,Research institute,,"Korea, Rep.",Bioinformatics,5-10 years,,M
55,en,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,research visibility indicators; awards/bonuses,Data specialist,,Government agency,,United States,Information Science; Data,10-20 years,,Female
55,es,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,No,N/A,,Yes,,Definitely,Definitely,Definitely No,Possibly,Definitely,Definitely,Definitely,Yes,,,,Policy officer,,University,,Colombia,Biology; Biotechnology; Engineering,10-20 years,,Femenino
57,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Very Probably,Yes,,,funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,Professor,,University,,United States,Computer Science; Biology; Medicine,10-20 years,,
57,es,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Possibly,Very Probably,Probably Not,Definitely,Possibly,No,,,,Researcher,,University,,Argentina,Sociology,> 20 years,,Femenino
58,en,Yes,Yes,No,No,Yes,Yes,No,No,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; awards/bonuses,Data specialist,,University,,United States,,5-10 years,,
58,es,Yes,Yes,Yes,Yes,No,No,Yes,No,No,,No,N/A,,Yes,,Very Probably,Definitely,Very Probably,No opinion,Probably Not,Definitely,Possibly,No,,,,Researcher,,Research institute,,Argentina,sociology; Education,5-10 years,,Masculino
59,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,Yes,,No,,Very Probably,Definitely,No opinion,Definitely,Possibly,Very Probably,Probably Not,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes,Researcher,,University,,France,Ecology; Statistics; Marine Biology,10-20 years,,female
60,en,Yes,No,No,No,Yes,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Very Probably,Possibly,Definitely,Possibly,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; authorship/contributorship; CRediT taxonomy,Policy officer,,University,,United States,Service Design; IT; Product Management,10-20 years,,
60,es,Yes,No,Yes,No,No,Yes,Yes,No,No,,No,N/A,,Yes,,No opinion,Definitely,Very Probably,Very Probably,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Researcher,,Government agency,,Argentina,Sociology; anthropology,> 20 years,,Mujer
61,en,Yes,No,Yes,No,Yes,No,No,Yes,No,,Yes,Yes,,No,,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Possibly,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Data specialist,,"Other, please specify",,Sweden,Environmental and Earth Sciences,10-20 years,,female
61,es,No,No,Yes,No,No,No,Yes,No,No,,No,N/A,,No,,No opinion,Very Probably,Very Probably,Very Probably,Very Probably,Definitely,No opinion,No,,,,Researcher,,Research institute,,Argentina,History,10-20 years,,FEMENINO
62,en,Yes,No,No,No,Yes,No,Yes,Yes,No,,Yes,Yes,,No,,No opinion,Definitely,Possibly,Definitely,Definitely,Definitely,Possibly,Yes,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Data specialist,,NGO / NPO,,United States,Oceanography,10-20 years,,
62,es,No,No,Yes,No,No,Yes,Yes,Yes,No,,No,N/A,,No,,No opinion,Definitely,No opinion,Possibly,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation processes,Researcher,,Government agency,,Argentina,Social Psychology; Community Psychology; Mental Health; Drug Abuse,5-10 years,,mujer cis
63,es,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,,No,,Definitely,Very Probably,Probably Not,Very Probably,Very Probably,Definitely,Possibly,No,,,,Researcher,,Government agency,,Argentina,Palaeontology; Anatomy,10-20 years,,femenino
65,en,Yes,No,Yes,No,No,No,Yes,No,No,,No,N/A,,No,,Definitely,Definitely,Probably Not,Definitely,No opinion,Possibly,Probably Not,Yes,,,funding/grants for OS activities; awards/bonuses,Policy officer,,University,,United States,Mechanical Engineering; Digital Learning,10-20 years,,male
65,es,Yes,Yes,Yes,No,No,No,Yes,Yes,No,,No,N/A,,No,,Possibly,Definitely,Possibly,Very Probably,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Researcher,,Government agency,,Argentina,Environment; History; Geography,10-20 years,,Masculino
66,es,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,Yes,,No opinion,Definitely No,No opinion,No opinion,Definitely,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,Argentina,Archaeology,> 20 years,,masculino
66,ko,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,No,,Possibly,Possibly,Possibly,Very Probably,Possibly,Possibly,Very Probably,No,,,"capacity building for OS (e.g., training, raising awareness, provision of IT tools); support through regulations and policy mandates",Policy officer,,Research institute,,"Korea, Rep.",Library and Information Science,> 20 years,,F
67,ko,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Possibly,Very Probably,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Mobile Communication; Computer Science; Library and Information Science,> 20 years,,M
68,ko,No,No,Yes,No,No,No,No,Yes,No,,Yes,No,,No,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No,,,OS indicators in research evaluation and/or career progression processes; research reputation,Researcher,,Research institute,,"Korea, Rep.",Computer Science; Health Informatics,> 20 years,,M
71,ko,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,No,,Probably Not,Definitely,Probably Not,Definitely,Very Probably,Possibly,Probably Not,No,,,acknowledgement/citation; research reputation,Researcher,,Research institute,,"Korea, Rep.",Education,< 5 years,,F
73,ko,Yes,Yes,No,No,No,No,No,No,No,,No,N/A,,No,,Probably Not,No opinion,Probably Not,Probably Not,Very Probably,Very Probably,Possibly,No,,,acknowledgement/citation; OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Bioinformatics,5-10 years,,M
76,ko,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,,No,,Very Probably,Very Probably,Very Probably,Very Probably,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Physics,10-20 years,,F
79,en,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Possibly,Definitely,Definitely,Yes,,,,Policy officer,,Research institute,,Germany,Natural Sciences,,,Male
80,en,No,No,No,Yes,Yes,No,No,Yes,No,,No,N/A,,No,,Possibly,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities; awards/bonuses,"Graduate student (Master, PhD)",,University,,Nigeria,Computer Science,5-10 years,,M
83,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,No,,No,,Definitely,Possibly,Definitely,Definitely,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,United States,Psychology,10-20 years,,Woman
84,ko,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,,Software engineer,,Government agency,,"Korea, Rep.",Computer Science,10-20 years,,M
